Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
AT,1,1,./results/models/AT/IERL/AT-2-2-5460-partial.pth,8,6,40,False,IERL
AT,1,2,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10,7,27,False,IERL
AT,1,3,./results/models/AT/IERL/AT-2-2-5460-partial.pth,11,8,25,False,IERL
AT,1,4,./results/models/AT/IERL/AT-2-2-5460-partial.pth,13,9,29,False,IERL
AT,1,5,./results/models/AT/IERL/AT-2-2-5460-partial.pth,15,10,37,False,IERL
AT,1,6,./results/models/AT/IERL/AT-2-2-5460-partial.pth,16,11,115,False,IERL
AT,1,7,./results/models/AT/IERL/AT-2-2-5460-partial.pth,17,12,43,False,IERL
AT,1,8,./results/models/AT/IERL/AT-2-2-5460-partial.pth,19,13,124,False,IERL
AT,1,9,./results/models/AT/IERL/AT-2-2-5460-partial.pth,21,14,203,False,IERL
AT,1,10,./results/models/AT/IERL/AT-2-2-5460-partial.pth,22,15,145,False,IERL
AT,1,11,./results/models/AT/IERL/AT-2-2-5460-partial.pth,23,16,193,False,IERL
AT,1,12,./results/models/AT/IERL/AT-2-2-5460-partial.pth,25,17,109,False,IERL
AT,1,13,./results/models/AT/IERL/AT-2-2-5460-partial.pth,27,18,132,False,IERL
AT,1,14,./results/models/AT/IERL/AT-2-2-5460-partial.pth,28,19,220,False,IERL
AT,1,15,./results/models/AT/IERL/AT-2-2-5460-partial.pth,29,20,147,False,IERL
AT,2,1,./results/models/AT/IERL/AT-2-2-5460-partial.pth,4,5,12,False,IERL
AT,2,2,./results/models/AT/IERL/AT-2-2-5460-partial.pth,48,31,159,False,IERL
AT,2,3,./results/models/AT/IERL/AT-2-2-5460-partial.pth,74,45,371,False,IERL
AT,2,4,./results/models/AT/IERL/AT-2-2-5460-partial.pth,108,61,526,False,IERL
AT,2,5,./results/models/AT/IERL/AT-2-2-5460-partial.pth,149,79,776,False,IERL
AT,2,6,./results/models/AT/IERL/AT-2-2-5460-partial.pth,203,99,1218,False,IERL
AT,2,7,./results/models/AT/IERL/AT-2-2-5460-partial.pth,252,121,2299,False,IERL
AT,6,1,./results/models/AT/IERL/AT-2-2-5765-partial.pth,458,272,40763,False,IERL
AT,2,8,./results/models/AT/IERL/AT-2-2-5460-partial.pth,309,145,3728,False,IERL
AT,2,9,./results/models/AT/IERL/AT-2-2-5460-partial.pth,384,171,4689,False,IERL
AT,2,10,./results/models/AT/IERL/AT-2-2-5460-partial.pth,455,199,7183,False,IERL
AT,2,11,./results/models/AT/IERL/AT-2-2-5460-partial.pth,548,229,8495,False,IERL
AT,2,12,./results/models/AT/IERL/AT-2-2-5460-partial.pth,652,261,10166,False,IERL
AT,2,13,./results/models/AT/IERL/AT-2-2-5460-partial.pth,733,295,17263,False,IERL
AT,2,14,./results/models/AT/IERL/AT-2-2-5460-partial.pth,838,331,19383,False,IERL
AT,2,15,./results/models/AT/IERL/AT-2-2-5460-partial.pth,950,369,25635,False,IERL
AT,3,1,./results/models/AT/IERL/AT-2-2-5460-partial.pth,4,5,8,False,IERL
AT,3,2,./results/models/AT/IERL/AT-2-2-5460-partial.pth,15,16,64,False,IERL
AT,3,3,./results/models/AT/IERL/AT-2-2-5460-partial.pth,406,246,4975,False,IERL
AT,3,4,./results/models/AT/IERL/AT-2-2-5460-partial.pth,734,408,16257,False,IERL
AT,3,5,./results/models/AT/IERL/AT-2-2-5460-partial.pth,1217,624,49531,False,IERL
AT,3,6,./results/models/AT/IERL/AT-2-2-5460-partial.pth,1896,900,129417,False,IERL
AT,3,7,./results/models/AT/IERL/AT-2-2-5460-partial.pth,2788,1242,315914,False,IERL
AT,3,8,./results/models/AT/IERL/AT-2-2-5460-partial.pth,3947,1656,691295,False,IERL
AT,3,9,./results/models/AT/IERL/AT-2-2-5460-partial.pth,5359,2148,1305861,False,IERL
AT,3,10,./results/models/AT/IERL/AT-2-2-5460-partial.pth,7065,2724,2782563,False,IERL
AT,3,11,./results/models/AT/IERL/AT-2-2-5460-partial.pth,9158,3390,3826316,False,IERL
AT,3,12,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,4026,3775642,True,IERL
AT,3,13,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,3,14,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,3,15,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,4,1,./results/models/AT/IERL/AT-2-2-5460-partial.pth,4,5,10,False,IERL
AT,4,2,./results/models/AT/IERL/AT-2-2-5460-partial.pth,18,19,58,False,IERL
AT,4,3,./results/models/AT/IERL/AT-2-2-5460-partial.pth,162,159,1833,False,IERL
AT,4,4,./results/models/AT/IERL/AT-2-2-5460-partial.pth,4264,2449,513363,False,IERL
AT,4,5,./results/models/AT/IERL/AT-2-2-5460-partial.pth,8405,4461,2097544,False,IERL
AT,4,6,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,6135,4476434,True,IERL
AT,4,7,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,4,8,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,4,9,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,4,10,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,4,11,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,4,12,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,4,13,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
AT,4,14,./results/models/AT/IERL/AT-2-2-5460-partial.pth,10001,10001,9999,True,IERL
